Rank,Song,Artist,Year,Lyrics
1,we belong together,mariah carey,2005, ooh ooh sweet love yeahi didnt mean it when i said i didnt love you so i should have held on tight i never shoulda let you go i didnt know nothing i was stupid i was foolish i was lying to myself i could not fathom that i would ever be without your love never imagined id be sitting here beside myself cause i didnt know you cause i didnt know me but i thought i knew everything i never feltthe feeling that im feeling now that i dont hear your voice or have your touch and kiss your lips cause i dont have a choice oh what i wouldnt give to have you lying by my side right here cause baby we belong together    meaning  byamandah   editor    talking with live nation tv mariah revealed the bobby womack lyric sample almost never came to be due to the cost they went with it anyways and now we    see all   when you left i lost a part of me its still so hard to believe come back baby please cause we belong togetherwho else am i gon lean on when times get rough whos gonna talk to me on the phone till the sun comes up whos gonna take your place there aint nobody better oh baby baby we belong togetheri cant sleep at night when you are on my mind bobby womacks on the radio saying to me if you think youre lonely now wait a minute this is too deep too deep i gotta change the station so i turn the dial trying to catch a break and then i hear babyface i only think of you and its breaking my heart im trying to keep it together but im falling apartim feeling all out of my element im throwing things crying trying to figure out where the hell i went wrong the pain reflected in this song it aint even half of what im feeling inside i need you need you back in my life babywhen you left i lost a part of me its still so hard to believe come back baby please cause we belong togetherwho else am i gon lean on when times get rough whos gonna talk to me on the phone till the sun comes up whos gonna take your place there aint nobody better oh baby baby we belong together babywhen you left i lost a part of me its still so hard to believe come back baby please cause we belong togetherwho am i gonna lean on when times get rough whos gonna talk to me till the sun comes up whos gonna take your place there aint nobody better oh baby baby we belong together 
2,hollaback girl,gwen stefani,2005, ooh this my shit all the girls stamp your feet like thisfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlthis my shit this my shit this my shit this my shit this my shit this my shit this my shit this my shiti heard that you were talking shit and you didnt think that i would hear it people hear you talking like that getting everybody fired up so im ready to attack gonna lead the pack gonna get a touchdown gonna take you out thats right put your pompoms down getting everybody fired upfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlthis my shit this my shit this my shit this my shit this my shit this my shit this my shit this my shitso thats right dude meet me at the bleachers no principals no studentteachers both of us wanna be the winner but there can only be one so im gonna fight gonna give it my all gonna make you fall gonna sock it to ya thats right im the last one standing and another one bites the dustfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlthis my shit this my shit this my shit this my shit this my shit this my shit this my shit this my shitlet me hear you say this shit is bananas bananas this shit is bananas bananas again this shit is bananas bananas this shit is bananas bananasfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlfew times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girlthis my shit this my shit this my shit this my shit this my shit this my shit this my shit this my shit 
3,let me love you,mario,2005, mm mm yeah mm yeah yeah yeah mm uh yeah mm yeah yeahbaby i just dont get it do you enjoy being hurt i know you smelled the perfume the makeup on his shirt you dont believe his stories you know that theyre all lies bad as you are you stick around and i just dont know whyif i was ya man baby youd never worry bout what i do id be coming home back to you every night doin you right youre the type of woman deserves good things fist full of diamonds hand full of rings baby youre a star i just want to show you you areyou should let me love you let me be the one to give you everything you want and need baby good love and protection make me your selection show you the way loves supposed to be baby you should let me love you love you love you love you yeahlisten your true beautys description looks so good that it hurts youre a dime plus ninetynine and its a shame dont even know what youre worth everywhere you go they stop and stare cause youre bad and it shows from your head to your toes out of control baby you knowif i was ya man baby youd never worry bout what i do id be coming home back to you every night doin you right youre the type of woman deserves good things fist full of diamonds a hand full of rings baby youre a star i just want to show you you areyou should let me love you let me be the one to give you everything you want and need ooh baby good love and protection make me your selection show you the way loves supposed to be baby you should let meyou deserve better girl you know you deserve better we should be together girl baby with me and you its whatever girl hey so can we make this thing oursyou should let me love you let me be the one to give you everything you want and need good love and protection make me your selection show you the way loves supposed to beyou should let me love you let me be the one to give you everything you want and need good love and protection make me your selection show you the way loves supposed to beyou should let me love you let me be the one to give you everything you want and need good love and protection make me your selection show you the way loves supposed to be yeah let me love youthats all you need baby 
4,since u been gone,kelly clarkson,2005, heres the thing we started out friends it was cool but it was all pretend yeah yeah since you been goneyoure dedicated you took the time wasnt long till i called you mine yeah yeah since you been goneand all youd ever hear me say is how i picture me with you thats all youd ever hear me saybut since you been gone i can breathe for the first time im so moving on yeah yeah thanks to you now i get what i want since you been gonehow can i put it you put me on i even fell for that stupid love song yeah yeah since you been gonehow come ive never heard you say i just want to be with you guess you never felt that waybut since you been gone i can breathe for the first time im so moving on yeah yeah thanks to you now i get what i want since you been goneyou had your chance you blew it out of sight out of mind shut your mouth i just cant take it again and again and again and againsince you been gone since you been gone i can breathe for the first time im so moving on yeah yeah thanks to you thanks to you now i get i get what i wanti can breathe for the first time im so moving on yeah yeah thanks to you thanks to you now i get i get you should know you should know that i get i get what i want since you been gone since you been gone since you been gone 
5,1 2 step,ciara and missy elliott,2005, ladies and gentleman ladies and gentleman this is a jazze phizal jazze phizal productshizzle missy missy the princess is here shes here ciarathis beat is automatic supersonic hypnotic funky fresh work my body so melodic this beat flows right through my chesteverybody ma and poppy came to party grab somebody work your body work your body let me see you 12 steprock it dont stop it everybody get on the floor wake the party up we about to get it onlet me see ya 12 step i love it when ya 12 step everybody 12 step we about to get it on this beat isoutrageous so contagious make you crave it jazze made it so retarded top charted ever since the day i startedstrut my stuff and yes i flaunt it goodies make the boys jump on it no i cant control myself now let me do my 12 step cmonrock it dont stop it everybody get on the floor wake the party up we about to get it onlet me see ya 12 step i love it when ya 12 step everybody 12 step we about to get it on we goin to step it like this ooh weeit dont matter to me we can dance slow ladies and gentleman whichever way the beat drop our bodies will go i like thisso swing it over here mr dj hey hey and we will we will rock youit dont matter to me we can dance slow dance slow yeah whichever way the beat drop our bodies will goso swing it over here mr dj ladies and gentleman and we will we will rock you lets shakei shake it like jello and make the boys say hello cause they know im rockin the beat rocking the beati know you heard about a lot of great mcs but they aint got nothing on me nothing on me because im 5 foot 2 i wanna dance with you and im sophisticated funi eat filet mignon and im nice and young best believe im number one woorock it dont stop it everybody get on the floor wake the party up we about to get it on cmonlet me see ya 12 step i love it when ya 12 step everybody 12 step we about to get it onrock it dont stop it everybody get on the floor wake the party up we about to get it onlet me see ya 12 step i love it when ya 12 step everybody 12 step we about to get it onthis is for the hearing impaired a jazze pha production ooh wee ooh wee 
6,gold digger,kanye west featuring jamie foxx,2005, she take my money when im in need yea shes a trifling friend indeed oh shes a gold digger way over town that digs on menow i aint saying she a gold digger but she aint messing with no broke niggas now i aint saying she a gold digger but she aint messing wit no broke niggas get down girl go head get down get down girl go head get down get down girl go head get down get down girl go headcutie the bomb met her at a beauty salon with a baby louis vuitton under her underarm she said i can tell you roc i can tell by ya charm far as girls you got a flock i can tell by ya charm and ya arm but im looking for the one have you seen her my psychic told me she have a ass like serena trina jennifer lopez four kids an i gotta take all they bad ass to showbiz ok get ya kids but then they got their friends i pulled up in the benz they all got up in we all went to den and then i had to pay if you fucking with this girl then you betta be payed you know why it take too much to touch her from what i heard she got a baby by busta my best friend say she use to fuck wit usher i dont care what none of yall say i still love hernow i aint saying she a gold digger but she aint messing with no broke niggas now i aint saying she a gold digger but she aint messing wit no broke niggas get down girl go head get down get down girl go head get down get down girl go head get down get down girl go headeighteen years eighteen years she got one of yo kids got you for 18 years i know somebody paying child support for one of his kids his baby mommas car and crib is bigger than his you will see him on tv any given sunday win the superbowl and drive off in a hyundai she was spose to buy ya shorty tyco with ya money she went to the doctor got lipo with ya money she walking around looking like micheal with ya money should of got that insured got geico for ya money if you aint no punk holla we want prenup we want prenup yeah its something that you need to have cause when she leave yo ass she gone leave with half eighteen years eighteen years and on her eighteenth birthday he found out it wasnt hisnow i aint saying she a gold digger but she aint messing with no broke niggas now i aint saying she a gold digger but she aint messing wit no broke niggas get down girl go head get down get down girl go head get down get down girl go head get down get down girl go headnow i aint saying you a gold digger you got needs you dont want ya dude to smoke but he cant buy weed you got out to eat and he cant pay yall cant leave theres dishes in the back he gotta roll up his sleeves but why yall washing watch him he gone make it into a benz out of that datson he got that ambition baby look in his eyes this week he mopping floors next week its the fries so stick by his side i know his dudes balling but yea thats nice and they gone keep calling and trying but you stay right girl but when you get on he leave yo ass for a white girlget down girl go head get down get down girl go head get down get down girl go head get down get down girl go head 
7,boulevard of broken dreams,green day,2005, i walk a lonely road the only one that i have ever known dont know where it goes but its home to me and i walk alonei walk this empty street on the boulevard of broken dreams where the city sleeps and im the only one and i walk alonei walk alone i walk alonei walk alone i walk amy shadows only one that walks beside me my shallow hearts the only thing thats beating sometimes i wish someone out there will find me till then i walk aloneahah ahah ahah aahah ahah ahah ahahim walking down the line that divides me somewhere in my mind on the border line of the edge and where i walk aloneread between the lines whats fucked up and everythings all right check my vital signs to know im still alive and i walk alonei walk alone i walk alonei walk alone i walk amy shadows only one that walks beside me my shallow hearts the only thing thats beating sometimes i wish someone out there will find me till then i walk aloneahah ahah ahah aahah ahah ahahi walk alone i walk ai walk this empty street on the boulevard of broken dreams where the city sleeps and im the only one and i walk amy shadows only one that walks beside me my shallow hearts the only thing thats beating sometimes i wish someone out there will find me till then i walk alone 
8,candy shop,50 cent featuring olivia,2005, yeah uhhuh so seductiveill take you to the candy shop ill let you lick the lollipop go head girl dont you stop keep going til you hit the spot whoaill take you to the candy shop yeah boy one taste of what i got uhhuh ill have you spending all you got come on keep going til you hit the spot whoayou could have it your way how do you want it you gon back that thing up or should i push up on it temperature rising okay lets go to the next level dance floor jampacked hot as a tea kettlei break it down for you now baby its simple if you be a nympho ill be a nympho in the hotel or in the back of the rental on the beach or in the park its whatever you intogot the magic stick im the love doctor i aint finished teaching you bout how sprung i got ya wanna show me how you work it baby no problem get on top then get your bounce around like a little riderim seasoned vet when it come to this shit after you work up a sweat you can play with this stick im trying to explain baby the best way i can i melt in your mouth girl not in your hands hahaill take you to the candy shop ill let you lick the lollypop go head girl dont you stop keep going til you hit the spot whoaill take you to the candy shop boy one taste of what i got ill have you spending all you got keep going til you hit the spot whoagirl what we do what we do and where we do and where we do the things we do things we do are just between me and you yeah oh yeahgive it to me baby nice and slow climb on the top ride like you in a rodeo you aint never heard a sound like this before cause i aint never put it down like thisas soon as i come through the door she get to pulling on my zipper its like its a race who could get undressed quicker isnt it ironic how erotic it is to watch em in thongs had me thinking bout that ass after im gonei touch the right spot at the right time lights on or lights off she like it from behind so seductive you should see the way she whine her hips in slow mo on the floor when we grindlong as she aint stopping homie i aint stopping dripping wet with sweat man its on and popping all my champagne campaign bottle after bottle its on and we gon sip til every bubble in every bottle is goneill take you to the candy shop ill let you lick the lollipop go head girl dont you stop keep going til you hit the spot whoaill take you to the candy shop boy one taste of what i got ill have you spending all you got keep going til you hit the spot whoaill take you to the candy shop ill let you lick the lollypop go head girl dont you stop keep going til you hit the spot whoaill take you to the candy shop boy one taste of what i got ill have you spending all you got keep going til you hit the spot whoa 
9,dont cha,the pussycat dolls featuring busta rhymes,2005,the pussycat dolls miscellaneous dont cha i know you like me  i know you do thats why whenever i come around shes all over you i know you want it its easy to see and in the back of your mind i know you should be all with me chorusdont cha wish your girlfriend was hot like me dont cha wish your girlfriend was a freak like me dont cha dont cha wish your girlfriend was wrong like me dont cha wish your girlfriend was fun like me dont cha  fight the feeling leave it alone  cuz if it aint love it just aing enough to leave a happy home lets keep it friendly you have to play see i dont care but i know she aint gon wanna share dont cha wish your girlfriend was hot like me dont cha wish your girlfriend was a freak like me dont cha dont cha wish your girlfriend was wrong like me dont cha wish your girlfriend was fun like me dont cha  i know im on your mind i know wed have a good time im your friend im fun and im fine i aint lyin look at me you aint lyin repeat chorus
10,behind these hazel eyes,kelly clarkson,2005, seems like just yesterday you were a part of me i used to stand so tall i used to be so strong your arms around me tight everything it felt so right unbreakable like nothing could go wrongnow i cant breathe no i cant sleep im barely hanging onhere i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyesi told you everything opened up and let you in you made me feel alright for once in my life now all thats left of me is what i pretend to be so together but so broken up insidecause i cant breathe no i cant sleep im barely hanging onhere i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyesswallow me then spit me out for hating you i blame myself just seeing you it kills me now now i dont cry on the outside anymorehere i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyeshere i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyes 
