,Video
0,Shakira - Chantaje ft. Maluma
1,The Chainsmokers - Closer (Lyric) ft. Halsey
2,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna
3,Fifth Harmony - Work from Home ft. Ty Dolla $ign
4,Clean Bandit - Rockabye ft. Sean Paul & Anne-Marie [Official Video]
5,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
6,Shawn Mendes - Treat You Better
7,Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma
8,The Weeknd - Starboy (official) ft. Daft Punk
9,Ariana Grande - Side To Side ft. Nicki Minaj
10,CNCO - Reggaetón Lento (Bailemos)
11,22. Hasta el Amanecer - Nicky Jam | Video Oficial
12,Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee
13,"Daddy Yankee | ""Shaky Shaky"" (Video Oficial)"
14,"Carlos Vives, Shakira - La Bicicleta"
15,Maluma - El Perdedor (Official Video)
16,Danny Ocean - Me Rehúso (Official Audio)
17,Sia - Cheap Thrills (Lyric Video) ft. Sean Paul
18,The Chainsmokers - Don't Let Me Down (Video) ft. Daya
19,Rihanna - Work (Explicit) ft. Drake
20,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO]
21,Bruno Mars - 24K Magic [Official Video]
22,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit)
23,Coldplay - Hymn For The Weekend (Official Video)
24,Maluma - Sin Contrato (Official Video)
25,Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video)
26,"CAN'T STOP THE FEELING! (From DreamWorks Animation's ""Trolls"") (Official Video)"
27,"Maluma - Cuatro Babys (Official Video) ft. Trap Capos, Noriel, Bryant Myers, Juhn"
28,Marshmello - Alone (Official Music Video)
29,Enrique Iglesias - DUELE EL CORAZON ft. Wisin
30,ZAYN - PILLOWTALK
31,Zion & Lennox Ft. J Balvin - Otra Vez | Video Oficial
32,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky"
33,Arcangel x Bad Bunny - Tu No Vive Asi [Video oficial]
34,Migos - Bad and Boujee ft Lil Uzi Vert [Official Video]
35,MC Kevinho - Olha a Explosão (KondZilla)
36,Rae Sremmurd - Black Beatles ft. Gucci Mane
37,Farruko - Chillax (Official Video) ft. Ky-Mani Marley
38,Alan Walker - Alone
39,James Arthur - Say You Won't Let Go
40,Ozuna - Te Vas ( Audio Oficial )
41,Thalía - Desde Esa Noche (Premio Lo Nuestro 2016) ft. Maluma
42,Ariana Grande - Into You
43,Jennifer Lopez - Ain't Your Mama
44,DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video]
45,Era Istrefi - Bonbon (Official Video)
46,DJ Snake - Let Me Love You ft. Justin Bieber
47,Ozuna - Dile Que Tu Me Quieres ( Video Oficial ) | Odisea
48,Sia - The Greatest
49,Andas En Mi Cabeza - Adexe & Nau (Chino & Nacho ft. Daddy Yankee Cover)
