,Video
0,Katy Perry - Roar (Official)
1,OneRepublic - Counting Stars
2,Avicii - Wake Me Up (Official Video)
3,MAGIC! - Rude (Official Video)
4,Romeo Santos - Propuesta Indecente (Official Video)
5,John Legend - All of Me (Edited Video)
6,Ellie Goulding - Burn
7,PSY - GENTLEMAN M/V
8,Martin Garrix - Animals (Official Video)
9,Pitbull - Timber ft. Ke$ha
10,Pharrell Williams - Happy (Official Music Video)
11,Prince Royce - Darte un Beso
12,Miley Cyrus - Wrecking Ball
13,Naughty Boy - La la la ft. Sam Smith
14,"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)"
15,P!nk - Just Give Me A Reason ft. Nate Ruess
16,Miley Cyrus - We Can't Stop
17,"Mike WiLL Made-It - 23 (Explicit) ft. Miley Cyrus, Wiz Khalifa, Juicy J"
18,Ylvis - The Fox (What Does The Fox Say?) [Official music video HD]
19,Calvin Harris - I Need Your Love (VEVO Exclusive) ft. Ellie Goulding
20,Lorde - Royals (US Version)
21,Marc Anthony - Vivir Mi Vida
22,Eminem - Rap God (Explicit)
23,Rihanna - Stay ft. Mikky Ekko
24,One Direction - Story of My Life
25,Bruno Mars - When I Was Your Man [Official Video]
26,Arctic Monkeys - Do I Wanna Know? (Official Video)
27,Imagine Dragons - Demons (Official)
28,"Disney's Frozen ""Let It Go"" Sequence Performed by Idina Menzel"
29,John Newman - Love Me Again
30,Selena Gomez - Come & Get It
31,MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO)
32,Eminem - The Monster (Explicit) ft. Rihanna
33,One Direction - Best Song Ever
34,"Demi Lovato - Let It Go (from ""Frozen"") [Official]"
35,Stromae - Papaoutai
36,"Robin Thicke - Blurred Lines ft. T.I., Pharrell"
37,Enrique Iglesias - Loco ft. Romeo Santos
38,Justin Timberlake - Mirrors
39,Demi Lovato - Heart Attack
40,Clean Bandit - Rather Be ft. Jess Glynne [Official Video]
41,Katy Perry - Unconditionally (Official)
42,Taylor Swift - 22
43,Beyoncé - Drunk in Love (Explicit) ft. JAY Z
44,Bastille - Pompeii
45,Pitbull - Feel This Moment ft. Christina Aguilera
46,Indila - Dernière Danse (Clip Officiel)
47,One Direction - Kiss You (Official)
48,"Jason Derulo - ""Talk Dirty"" feat. 2 Chainz (Official HD Music Video)"
49,BANDA MS - HERMOSA EXPERIENCIA (VIDEO OFICIAL)
50,Anna Kendrick - Cups (Pitch Perfect’s “When I’m Gone”)
51,DVBBS & Borgeous - TSUNAMI (Original Mix)
52,Bruno Mars - Treasure [Official Music Video]
53,Hozier - Take Me To Church
54,Drake - Started From The Bottom (Explicit)
55,"A Great Big World, Christina Aguilera - Say Something"
56,Milky Chance - Stolen Dance (Album Version)
57,One Direction - One Way Or Another (Teenage Kicks)
58,Avicii - Hey Brother (Lyric)
59,Nico & Vinz - Am I Wrong [Official Music Video]
60,Silva Gunbardhi ft. Mandi ft. Dafi - Te ka lali shpirt (Official Video HD)
61,Banda Tierra Sagrada - La buena y la mala (el dilema) VIDEO OFICIAL
62,Pablo Alboran - Donde Está El Amor ft. Jesse & Joy (Videoclip oficial)
63,Capital Cities - Safe And Sound (Official Video)
64,Banda Los Recoditos - Mi Último Deseo
65,Maître Gims - Bella (Clip officiel)
66,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers"
67,Plan B - Candy
68,Hala Al Turk - Happy Happy #حلا_الترك - هابي هابي
69,Ariana Grande - The Way ft. Mac Miller
