song,artist,comment
tik tok,keha,"tik tok stylized as tik tok is the debut single by american recording artist kesha the song was produced by dr luke and benny blanco and cowritten by kesha dr luke and blanco it was released on august 7 2009 as the lead single from keshas debut studio album animal the opening line of the song came from an experience where kesha woke up surrounded by beautiful women to which she imagined diddy being in a similar scenario the experience triggered the writing of the song which she later brought to her producer dr luke who was then contacted by diddy in hopes of a collaboration he came to the studio the same day and recorded his lines and the song was completed according to kesha the songs lyrics are representative of her and based on her life the song has a carefree message and talks about not letting anything bring you down
the song is an electropopdancepop song incorporating a minimalist bitpop beat interspersed with handclaps and synths the songs verses use a rapsing vocal style while the chorus is sung throughout the song the use of autotune is prominent musically the song has been compared to the works of lady gaga uffie and fergie
the song achieved commercial success by topping the charts in eleven countries in the united states the song broke the record for the biggest singleweek sum of all time for a female artist selling 610000 digital downloads in one week tik tok was certified 5× platinum by the recording industry association of america riaa and has sold 68 million copies in the united states topped the billboard hot 100 chart for 9 consecutive weeks the song was the bestselling single worldwide in 2010 selling 128 million copies in that year alone by now the song has sold over 16 million copies making it the fifth bestselling single in the digital history the song was listed 56th on the billboard hot 100 songs of alltime"
need you now,lady antebellum,"need you now is a country pop song performed by american country music trio lady antebellum the band cowrote the song with josh kear and produced it with paul worley it serves as the leadoff single and title track to their second studio album need you now 2010 and was first released in the us on august 11 2009 the song also served as their debut single in the uk and europe where it was released april 23 2010 it won four grammy awards in 2011 including for song of the year and record of the year the first country song to win both honors since not ready to make nice by the dixie chicks won both in 2006 and only the second ever
the song spent five weeks at no 1 on the billboard hot country songs chart in late 2009 thereafter need you now crossed over onto various pop and adult contemporary music charts becoming a top five hit in canada ireland and new zealand as well as a top ten hit in the netherlands and norway the song won single of the year and song of the year at the 2010 academy of country music awards as well as group video of the year at the 2010 cmt music awards for the chart week of march 30 2010 the song became the groups highestcharting single on the billboard hot 100 reaching no 2 the best position for a country song by a band on that chart since lonestars amazed topped the tally at the beginning of the decade the single has been certified sextuple platinum by the recording industry association of america riaa
a music video was shot for the song directed by dave mcclister in the video the song has an extended piano intro and features all members of the group acting out scenes related to the storyline the song was initially released only to the country radio format in the united states and canada on august 24 2009 but was remixed and rereleased to all other formats domestically and internationally at the beginning of 2010 the song gained prominence internationally in europe and south america the trio rerecorded the song again in simlish to accompany the release of the sims 3 expansion pack ambitions by april 17 2011 the song became the ninth most downloaded song in history moving 5000000 copies and surpassed taylor swifts love story as the most downloaded country song in history it has since sold over 6 million copies in the us
the song was used in television series such as hellcats and the glades need you now has also been covered by several artists including adele with darius rucker boyce avenue and glee cast weird al yankovic included the chorus in polka face the polka medley from his 2011 album alpocalypse"
hey soul sister,train,"hey soul sister is a song by the us rock band train it was written by lead singer patrick monahan amund bjørklund and espen lind it was released as the lead single from the bands fifth studio album save me san francisco 2009
the song reached number three on the billboard hot 100 chart and is trains highestcharting song to date as of september 21 2012 it had sold over 6 million digital copies in the us it was the topselling song on the itunes store in 2010 and the second overall bestselling song in the us in 2010 it is also the bands most commercially successful single to date reaching number one in 16 countries the single received a 6x platinum certification by the recording industry association of america riaa on september 21 2012 signifying sales of over 6 million copies the live itunes version of hey soul sister garnered a grammy award for train at the 53rd annual grammy awards the song was not eligible for any grammy award in the general field"
california gurls,katy perry featuring snoop dogg,"california gurls is a song recorded by american singer katy perry it served as the lead single for her third studio album teenage dream 2010 the song features verses from rapper snoop dogg both artists cowrote the song with bonnie mckee and its coproducers dr luke and max martin with additional production from benny blanco according to perry california gurls is an answer song to empire state of mind 2009 by jayz and alicia keys its midtempo production incorporates discopop and funkpop with influences of new wave and electropop its lyrics are an ode to the state of california in which both perry and snoop dogg were born and raised
california gurls garnered positive reviews from music critics with the majority of them labeling it a summer anthem as well as complimenting its production and chorus originally intended to be sent to mainstream and rhythmic airplay on may 25 2010 the song debuted on may 7 2010 after clips from the teenage dream album were leaked online it was subsequently released to itunes on may 11 2010 as the albums lead single the song was a worldwide success peaking at numberone on the billboard hot 100 for six consecutive weeks giving perry her second us numberone single in and snoop dogg his third the song also reached numberone in ten other countries including australia canada ireland new zealand and the united kingdom
a music video for the song was released on june 15 2010 and features perry and her dancers as pieces of a board game set in the fictional candyfornia perry has said that the inspiration behind the video was artist will cotton who was also the artistic director of the video it has been noted that the video is influenced by several other works including charlie and the chocolate factory alices adventures in wonderland and the board game candyland on december 2 2010 the song received a grammy nomination for best pop collaboration with vocals in 2012 billboard ranked the song number one on a special the 30 summer songs of all time listing"
omg,usher featuring william,"omg is a song by american recording artist usher and american rapper william who also wrote and produced the song it uses the autotune effect in several lines as well as jock jamsesque sports arena chanting it was released on march 22 2010 as the first worldwide single off his sixth studio album raymond v raymond and the fourth single overall following the three us singles papers hey daddy daddys home and lil freak the song was met with a mixed reception from critics who criticized the use of autotune but commended the songs dance and club vibe the song marks the second time that usher has collaborated with william following the single whats your name from his previous album here i stand 2008
omg topped the charts in australia ireland new zealand the united kingdom and the united states the song became his ninth numberone hit in the united states making him the first 2010s artist to collect numberone singles in three consecutive decades he became only the fourth artist of alltime to achieve that feat usher also became the third artist to have at least one numberone song from five consecutive studio albums the songs choreography and danceheavy accompanying music video has been compared by critics to that of yeah usher performed the song live several times including on the ninth season of american idol with william he also performed the song as a part of a medley during his critically acclaimed performance at the 2010 mtv video music awards omg was named the fifth best selling song of 2010 in the us selling 38 million units the song sold 69 million copies worldwide during that year"
airplanes,bob featuring hayley williams,"airplanes is a song by american rapper bob featuring vocals from hayley williams lead singer of american rock band paramore the song was released in april 2010 as the third single from his debut studio album bob presents the adventures of bobby ray bob cowrote the song alongside kinetics  one love alex da kid dj frank e and christine dominguez dj frank e also coproduced the song with alex da kid the song was released to itunes on april 13 2010 and then to urban radio on april 27 2010
airplanes peaked at number two on the us billboard hot 100 internationally the song topped the charts in new zealand and the united kingdom and peaked within the top ten of the charts in australia canada and the republic of ireland airplanes part ii the sequel to the song features new verses from bob and a verse from fellow american rapper eminem while williamss vocals remained intact this collaboration led to a grammy nomination for best pop collaboration with vocals"
love the way you lie,eminem featuring rihanna,"love the way you lie is a song recorded by the american rapper eminem featuring barbadian singer rihanna from eminems seventh studio album recovery 2010 the singer and songwriter skylar grey wrote and recorded a demo of the song alongside the producer alex da kid when she felt she was in an abusive romantic relationship with the music industry eminem wrote the verses and chose rihanna to sing the chorus resulting in a collaboration influenced by their past experiences in difficult relationships recording sessions were held in ferndale michigan and dublin ireland backed by guitar piano and violin the track is a midtempo hiphop ballad with a pop refrain sung by rihanna and describes two lovers who refuse to separate despite being in a dangerous love–hate relationship
interscope records released the song in august 2010 as the second single from recovery critics praised its melody but were divided on thematic aspects such as poignancy and accuracy eminem promoted the single with performances at the 2010 electronic entertainment expo the 2010 mtv video music awards and festivals the music video directed by joseph kahn stars dominic monaghan and megan fox in a violent relationship and shows eminem and rihanna in front of a burning house the clip had a mixed reception due to scenes of domestic violence reporters suggested that the song and its accompanying video were influenced by eminems and rihannas relationships with their respective exlovers kimberly scott and chris brown
critics listed love the way you lie among the best tracks of 2010 and of eminems career the song won many awards and received five grammy nominations it is eminems bestselling single and ranked number one on several record charts including the united states billboard hot 100 for seven weeks the single sold six million copies in the us and was the bestselling song of 2010 in the united kingdom musical acts such as cher lloyd and the band perry have performed cover versions rihanna has said that the theme of domestic violence a topic on which she claims many people do not have insight is what makes the song effective she later recorded love the way you lie part ii narrated mostly from her perspective"
bad romance,lady gaga,"bad romance is a song by american singer lady gaga from her third extended play the fame monster 2009 it was written and produced by nadir redone khayat and lady gaga lyrically bad romance explores gagas attraction to individuals with whom romance never works her preference for lonely relationships and the paranoia she experienced while on tour following an illegal demo leak gaga showcased the final product at alexander mcqueens show at the paris fashion week in october 2009 followed by the release of the singles cover art musically bad romance features a spoken bridge a fullthroated chorus and sung lyrics about being in love with ones best friend the song which is imbued with elements of germanesque house and techno as well as music from 1980s and the 1990s was touted by gaga as an experimental pop record the song contains a few lines in french
most commentators praised bad romance calling it one of the highlights of the album it was included in the bestof lists in several media outlets such as rolling stone and pitchfork media and won two grammy awards for best female pop vocal performance and best short form music video in the us bad romance peaked at number two on the billboard hot 100 and it has been certified eleventimes platinum by the recording industry association of america riaa having sold 58 million digital downloads as of february 2018 it topped the charts in twelve countries and sold 12 million copies worldwide becoming one of the bestselling singles of all time
the accompanying music video of bad romance features gaga inside a surreal white bathhouse there she gets kidnapped by a group of supermodels who drug her and sell her to the russian mafia for sexual slavery the video ends with gaga live incinerating the man who had bought her it garnered acclaim from critics who complimented the risqué and symbolic nature of the plot as well as its artistic direction and vivid imagery it was voted the best video of the 2000s decade by readers of billboard at the 2010 mtv video music awards it was nominated for ten awards where gaga won seven including video of the year gaga has performed bad romance on various television programs such as saturday night live at various award ceremonies such as the 2009 american music awards and in four of her tours the most recent being the joanne world tour"
dynamite,taio cruz,"dynamite is a song by british recording artist taio cruz for the international version of his second studio album rokstarr 2010 cruz cowrote the song along with max martin bonnie mckee benny blanco and dr luke the latter two are also the producers the song features additional instrumentation by cruz himself it was released internationally as the fourth single from rokstarr in the uk the song was released as the first single from cruzs compilation album the rokstarr collection 2010 on 30 may 2010 it was released to us and canadian radio stations as his second single and across europe as his fourth single an official remix was released featuring new label mate jennifer lopez
dynamite became cruzs second numberone single on the uk singles chart and the canadian hot 100 as well topping charts in belgium ireland australia and new zealand the song reached number two on the us billboard hot 100 and by january 2012 it had sold over 57 million copies in the us and canada becoming the second bestselling song by a british artist in the digital era there behind adeles rolling in the deep"
break your heart,taio cruz featuring ludacris,"break your heart is a song by english singer and songwriter taio cruz the song serves as the lead single from his second studio album rokstarr 2009 it was written by cruz and fraser t smith and produced by smith it was first released in the united kingdom on 20 september 2009 followed by a release in the united states and other markets on 2 february 2010 the official remix version features american rapper ludacris that version was the single released in north american countries the song originally penned for cheryl cole is an electropop song with dancepop elements accompanied by cruzs autotuned vocals the song is lyrically a warning to someone about being a heartbreaker
the song received mixed to positive reviews critics commending its infectious sound but noting that it was generic the song peaked at number one in canada switzerland the united kingdom and the united states and also within the top ten of many other countries the accompanying music video features several scenes of cruz on escapades with different women including a speedboat compared to classic diddy and a club scene with ludacris in the american version"
